words,index,frequency,abstracts
The,1,0,0
B,2,0,0
physics,3,154,87
potential,4,15,13
of,5,613,94
CMS,6,0,0
detector,7,18,12
to,8,219,76
be,9,83,46
built,10,2,2
at,11,78,46
LHC,12,0,0
CERN,13,0,0
is,14,178,71
presented,15,22,17
First,16,0,0
components,17,4,4
are,18,125,62
briefly,19,9,8
reviewed,20,19,12
with,21,89,51
an,22,52,38
emphasis,23,11,11
on,24,94,54
their,25,13,12
role,26,8,6
for,27,141,66
Then,28,0,0
a,29,221,79
description,30,6,5
some,31,25,22
measurements,32,19,17
that,33,75,45
could,34,11,10
done,35,4,4
such,36,16,12
as,37,74,36
CKM,38,0,0
angle,39,5,5
beta,40,7,6
mixing,41,7,6
parameter,42,3,3
x,43,10,6
s,44,20,17
and,45,350,93
number,46,18,14
rare,47,6,6
decay,48,10,8
studies,49,11,9
follows,50,1,1
Finally,51,0,0
possible,52,13,12
high,53,33,25
level,54,12,9
trigger,55,10,3
algorithm,56,2,2
discussed,57,28,20
five,58,4,2
ARIES,59,0,0
designs,60,1,1
which,61,46,30
correspond,62,2,2
different,63,12,11
tokamak,64,4,2
operating,65,6,4
modes,66,3,2
compared,67,5,3
Physics,68,0,0
figures,69,1,1
merit,70,1,1
introduced,71,2,2
quantify,72,2,2
major,73,7,6
parameters,74,10,8
design,75,6,3
in,76,299,88
space,77,10,8
one,78,12,12
another,79,2,2
existing,80,4,3
data,81,19,12
base,82,5,4
terms,83,4,3
these,84,29,22
While,85,0,0
steady,86,1,1
state,87,12,10
stability,88,5,3
I,89,0,0
pulsed,90,3,2
PULSAR,91,0,0
closest,92,1,1
no,93,4,4
has,94,32,25
yet,95,2,2
been,96,28,20
completely,97,3,3
prototyped,98,1,1
tokamaks,99,1,1
Photodetectors,100,0,0
widely,101,3,3
used,102,26,22
particle,103,20,12
nuclear,104,31,15
research,105,19,10
Since,106,0,0
beginning,107,2,2
modern,108,4,4
era,109,1,1
photoelectric,110,1,1
transducers,111,1,1
late,112,1,1
many,113,13,12
types,114,2,2
devices,115,5,2
have,116,33,27
developed,117,4,4
exploited,118,1,1
New,119,0,0
performance,120,3,3
requirements,121,3,3
arising,122,1,1
experiments,123,26,19
often,124,3,3
provided,125,2,2
very,126,14,10
interesting,127,7,6
technological,128,3,2
drivers,129,1,1
industry,130,1,1
ideas,131,1,1
photo,132,1,1
detection,133,7,6
rapidly,134,2,2
adapted,135,2,2
by,136,52,35
community,137,4,4
enable,138,1,1
more,139,11,11
powerful,140,1,1
experimental,141,19,15
capabilities,142,4,4
This,143,0,0
report,144,3,3
gives,145,2,2
sampling,146,1,1
developments,147,9,9
photodetection,148,1,1
period,149,3,3
conference,150,1,1
series,151,3,3
Beaune,152,0,0
Representative,153,0,0
examples,154,8,7
advances,155,3,3
vacuum,156,2,2
solid,157,1,1
gaseous,158,2,2
described,159,7,7
including,160,11,10
where,161,6,5
appropriate,162,3,3
areas,163,5,4
improvements,164,1,1
needed,165,5,5
or,166,16,13
expected,167,10,9
modelling,168,1,1
traffic,169,7,2
flow,170,9,3
using,171,20,17
methods,172,8,6
models,173,16,10
from,174,40,30
long,175,12,12
history,176,2,2
In,177,0,0
recent,178,26,21
years,179,3,3
especially,180,2,2
cellular,181,3,2
